"Standard Name",Description,Category,Status,"Deployment Type","Approval Expiration Date"
"Kubernetes Cert-Manager","It is essential for applications to use valid TLS certificates as part of encryption best practices.  Our team uses this Kubernetes service to leverage Let’s Encrypt’s service, enabling our team to secure end-points and web interfaces at a scale and velocity of change we could not support otherwise.  Cert-Manager is installed as a service inside the PPMS Kubernetes clusters. It works with Route 53 to dynamically generate valid TLS certificates for CI/CD applications, such as: https://sonar.mgmt-ppm.fcs.gsa.gov and PPMS applications hosted in our environments.","Continuous Delivery (CD)",Approved,Server,2023-06-16
"Kubernetes External Secrets","FCS MCaaS is a Multi-Tenant Container as a Service built on top of AWS Elastic Kubernetes Service (EKS). Part of this solution requires EKS to interact with secret management system such as AWS secret manager or HashiCorp Vault. Kubernetes External Secrets is a custom implementation of external secret controller for K8s developed by GoDaddy and it's actually a K8s CRD (Custom Resource Definition) object.",Other,Approved,Server,2022-07-21
"LAInstaller v6.x","We need the LAS software to do background investigation and credentialing for GSA personnel.  This is critical for all of GSA.",-,Approved,Desktop,2023-07-20
"Lascar EasyLog Software 7.2","The core of Lascar's data logging solution is the free software supplied with each data logger. Using a wizard format to guide the user through setup of the data logger and subsequent download of collected data, the software puts the 'easy' into EasyLog.","IDE-Integrated Development Environment",Sunsetting,Desktop,2017-12-01
"Launcher 2.x","Launcher is a tool to allow interface with Metasys.","Building Automation",Approved,Server,2023-08-17
"Lectora Desktop v21.x","OMB's content is intended for public use, so people can learn more about how grants work at their own pace. This includes both federal users who manage grants programs as well as grants recipients who can be federal and non-federal users.  Public users who want to be informed of how agencies and recipients work together to execute programs can also benefit.  Lectora Online is a cloud-based learning management solution that provides small to large enterprises with authoring tools to design, publish and deliver courses on multiple platforms. It enables users to collaborate with team members and automatically track revised content using versioning capabilities.",-,Approved,Desktop,2024-03-29
"Ledger Live App (Nano X)","The Nano X and the Ledger Live App, which is the name of the submitted software, is a combination of hardware wallet key and client software app that allows the user to securely manage digital crypto currencies.  A review of the software website does not indicate any Cloud storage or processing.  The proposed use case is "" To store cryptocurrency on behalf of the federal government for owning agencies we sell on behalf of.""",Other,Approved,Desktop,2023-04-28
"Leica Cyclone","Leica Geosystems HDS Cyclone is the market leading point cloud processing software. It is a family of software modules that provides the widest set of work process options for 3D laser scanning projects in engineering, surveying, construction and related applications.","Building Information Modeling",Denied,Desktop,-
"Lens 5.x","Kubernetes requires a management interface beyond basic kubectl to visualize and manage the cluster an troubleshoot issues.  
Lens is deployed on a Windows Bastion host inside the PPMS operating environment.  It will then connect to the API for the AWS EKS service.  System administrators will use the tool to manage the EKS clusters supporting the PPMS application and development systems.  The tool will not be publicly accessible and can only be accessed by a very limited number of authorized system administrators connecting via a VPN.
https://k8slens.dev/",Infrastructure,Approved,Server,2023-12-31
Lever.co,"Lever.co is a collaborative applicant tracking system. Lever is a recruiting tool designed to help companies take candidates through the hiring pipeline. Features include a browser extension for sourcing, bulk emailing capabilities, archiving or tagging candidates, and email scheduling. Reporting tools are designed allow managers and executives to have an overview of where they are tracking on recruiting goals.","Collaboration Software",Denied,SaaS,-
"Linkerd Version 2.x","Linkerd is required to provided mTLS authentication and encryption for all microservices.  It is lightweight, easier to configure than Istio, and adheres to the Service Mesh Interface (SMI) standard.  Linkerd is deployed in AWS, hosted on a Kubernetes cluster to support the continuous integration testing and deployment of GSA’s PPMS application.  The tool is not publicly accessible and can only be accessed by a very limited number of authorized system administrators connecting via a VPN.",Infrastructure,Approved,Server,2023-05-19
"Linux 2","Linux is a Unix-like and mostly POSIX-compliant computer operating system assembled under the model of free and open-source software development and distribution.","Network Operating System",Sunsetting,Server,2017-09-01
"Listserv v17.x","Listserv allows one to send an email to one address and have that email replicated to many other addresses, it is used for email discussion groups and also for email announcement lists.  The term Listserv has been used to refer to electronic mailing list software applications in general, but is more properly applied to a few early instances of such software, which allows a sender to send one email to the list, which then transparently sends it on to the addresses of the subscribers to the list.",Other,Approved,Server,2023-11-23
"Load Runner HP Controller v12.x","System Supported: TSC Portal  Activity/Requirement: Load testing of ~800 virtual users (Vusers) ot support ongoing optimization of the virtual resources.",Other,Approved,Server,2023-07-10
"Logi Report Designer v18.x","Formerly known as JReport Designer.  Logi Report Designer will be used by the SASy dashboard and by the ROADS application to generate java reports for application end users.  Logi Report Designer is a Swing-based Integrated Development Environment (IDE) that enables sophisticated report design and presentation of critical business data.  It provides an intuitive interface, reusable report components, flexible layout, and a tool set for designing and testing reports.","Reporting and Analysis",Approved,Server,2024-03-28
"Logi Report Server v18.x","Logi Report Server will be used by the SASy dashboard and by the ROADS application to generate java reports for application end users.  Logi Report Server (formerly Logi JReport Server), a 100% Java report generation and management tool that can be deployed to any Java EE application server.  By leveraging its high-performance report generation engine, Logi Report scales to meet the most demanding requirements.  Using the report scheduling, distributing, and alerting capabilities of Logi Report Server, you can integrate reporting into the workflow of the application.","Reporting and Analysis",Approved,Server,2024-03-28
"Logitech Gaming Software","I have a Logitech C920S webcam that I'd like to use for video teleconferencing.  I am experiencing an issue with lighting in the room I use the camera.  This can easily be fixed by adjusting the backlighting / brightness of the camera.  In order to do so I need to install some free official software from Logitech.  Please note, this has nothing to do with gaming, only advanced settings for my camera to improve my appearance to others. (fix the backlighting issue).","Video Conferencing",Approved,Desktop,2023-04-28
"Logitech Logi Tune","Logitech webcam c920e needs the ""Logi Tune"" Software to enable the microphone function.","Miscellaneous Software",Approved,Desktop,2023-06-09
"Logitech Options Software Version: 8.54.x","Logitech Options software lets you customize your device's settings as follows: + Change function key shortcuts, + Customize mouse buttons, + Adjust point and scroll behavior, + Enable and disable touchpad gestures, + Get on-screen notifications when your device's battery runs low or when you press a lock key.",-,Approved,Desktop,2023-09-13
LONWatcher,"The Lonwatcher 3 network management tool provides integrators with sophisticated features and all the resources necessary to install, operate and manage LONWORKS® networks. Lonwatcher 3 introduces a straightforward interface for LONWORKS networks, allowing simple visualization and documentation of the control system’s logic.","Building Automation",Denied,Server,-
"Lookout for Work","We are deploying the Lookout for Work application to all GFE mobile devices to protect them.","Security and Assurance",Approved,Other,2023-01-13
"Lookout for Work Management","We are deploying the Lookout for Work Management application to all GFE mobile devices to protect them.","Security and Assurance",Approved,SaaS,2023-01-13
"Lucid Meetings","Lucid Meetings combines collaboration and web conferencing software for a complete meeting management system to support professional meeting preparation, a collaborative in-meeting experience, and effortless follow-through on meeting results.","Collaboration Software",Denied,SaaS,-
"Lumin PDF","View, edit and annotate PDF documents from your browser.  Lumin PDF allows you to share and edit PDF files in real-time. Highlight, edit, annotate, and sign/send PDF files from your browser.
Save as PDF and use Adobe to sign/edit","Electronic Publishing",Denied,SaaS,-
"M440 Ion Drone","PBS project teams often need the use of drones for services and deliverables as part of their respective purchases and vendor contracts. Services that require or allow drone usage include: 1. Office of Disposal capture of imagery of government facilities, considered excess property, and scheduled for disposal.  2. Office of Design and construction, employing contract services that employ drones for validating proper construction of high rise facade components are completed per the contract specifications or for inspecting multiple project roof conditions for replacement schedules.  3. Office of Facilities management, employing contract services that employ drones for external capture of facility heat gain or loss due to faulty design or execution.",Other,Approved,Other,2022-10-21
"MacOS 11.x Big Sur","macOS Big Sur (version 11) is the 17th and current major release of macOS, Apple Inc.'s operating system for Macintosh computers. Big Sur is the successor to macOS Catalina, and will be succeeded by macOS Monterey, currently scheduled for general release in fall 2021.  It features a user interface redesign that features new blurs to establish a visual hierarchy and also includes a revamp of the Time Machine backup mechanism, among other changes.  It is also the first macOS version to support Macs with ARM-based processors, a key part of the transition from Intel x86-64-based processors.","Operating System",Approved,Desktop,2023-10-05
"Magic Solutions Support Magic","Help desk automation and asset management software","HelpDesk Software",Sunsetting,Server,2018-07-01
"MariaDB Server 10.x","The CTO's office has identied a potential use for MariaDB. A request is now in for a new server build to push forward with MariaDB Server 10.x. (STASK2151141). We are requesting the addition of MariaDB Server 10.x to the GSA software approved listing.",Database,Approved,Server,2022-10-17
"MCACES v4.x","Currently, employees in the regional program management office do not have a centralized software to compile and store pricing information for construction and services contracts. Bids or prices paid for contracts are stored on a projects-by-projects basis and there is not a systematic means of making the pricing data more readily available for analysis.",Database,Approved,Desktop,2022-12-02
"McAfee Move","McAfee MOVE brings optimized, advanced malware protection to your virtualized desktops and servers, including your virtual environment in the cloud.  NOTE: This is approved only as a temporary exception to the enterprise standard (Cylance) and the approval shall not extend beyond 10/15/18 (end of licensing term for McAfee move), before which VDI Team must move to Cylance.","Intrusion Detection and Prevention",Sunsetting,Other,2018-10-15
"McAfee NetShield","Product used to protect virus-infected files transmitted to and from servers. It provides added security by scanning for viruses and other server locations.","Intrusion Detection and Prevention",Sunsetting,Server,2018-02-01
"MCUInstaller v3.x","We need the MCU software to do background investigation and credentialing for GSA personnel.  This is critical for all of GSA.",-,Approved,Desktop,2023-07-20
"MeadCo Neptune Plug-in 1","MeadCo's Neptune is a 100% Netscape-compatible plug-in which hosts Microsoft's WebBrowser control. It will work when embedded in documents rendered by WebKit-based browsers such as Safari for Windows and Google Chrome, Opera 4.0 – 10.x and any Gecko-based browser such as Firefox, running on any windows platform with microsoft's underlying web componentry integrated.The WebBrowser control adds browsing, document viewing, and data downloading capabilities to your applications. Applications using this control will allow the user to browse sites on the Internet's World Wide Web, as well as folders in the local file system and on a network.","Web Browser",Denied,Desktop,-
Medallia,"Medallia is a tool that uses machine learning and natural language processing to process textual feedback like survey comments, chat transcripts and other data in an automatic way.  Medallia is a SaaS product and as part of their FedRAMP authorization they need to integrate with GSA's Single Sign On to maintain close control over the folks on our team that have access to the system. Medallia will not be integrated with other ATO'd systems. It will be stand alone.","Data Management",Approved,SaaS,2023-01-26
"Media Star/Media Manager v10","Scan software for MediaStar Media Manager.  ServiceNow requests were submitted for the Hardware portion of this request and approved.  This is to replace the End of Life Cisco DMM & DMP devices for IPTV System at Central Office.","Video Conferencing",Approved,Other,2022-10-21
"Media Star/Media Player v5","Scan software for MediaStar Media Player.  ServiceNow requests were submitted for the Hardware portion of this request and approved.  This is to replace the End of Life Cisco DMM & DMP devices for IPTV System at Central Office.","Video Conferencing",Approved,Other,2022-10-21
"Metaspolit Pro","Enterprise Penetration Testing software","Intrusion Detection and Prevention,Vulnerabilities Scanning",Sunsetting,Server,2018-02-01
"Metasys 11.x","The Johnson Controls Metasys® Application and Data Server/Extended Application and Data Server (ADS/ADX) is an optional component that brings an entire new suite of technologies to your system.  The Metasys® ADS/ADX manages the collection of large amounts of trend data, event messages, operator transactions, and system configuration data. This server provides site unification, advanced reporting, a simple and intuitive user interface, and a hierarchical network view of the entire system for all connected devices, which allows for efficient control of energy usage, quick response to critical conditions, and optimization of automation strategies.","Building Automation",Approved,Server,2023-06-28
MetroTalk,"A fluid Google Voice experience on Windows Phone.  Removed from the Windows Phone store on May 1, 2014.  Use Google Voice on GSA issued Mobile Phones.",Telephony,Denied,SaaS,-
"MGS WSUtility (MGSWeb) for Unisys ClearPath MCP v60.x","This is part of Unisys Clearpath software which is managed by the hosting contract by SAIC/UNISYS. These tools are required for Clearpath system maintenance.","Programming Environment",Approved,Desktop,2024-04-12
"Micro Focus Unified Functional Testing (UFT) v15.x","The Micro Focus Unified Functional Testing Software is being utilized to support the FSC in streamlining efforts by automating specific processes.  Micro Focus  UFT software automates testing through an intuitive, visual user experience that ties manual, automated, and framework-based testing together  in one IDE.","IT Testing and Analysis",Approved,Desktop,2023-11-29
"Microsoft FSLogix","FSLogix is a software suite the Microsoft just acquired. This software provides improved profile performance and application masking (which ensures proper license usage rights) in a multi-user environment. This software is free to us in our environment for up to GSA's RDS CALS limits.","Thin Client Server",Approved,Other,2023-12-15
"Microsoft Internet Explorer 11","A Microsoft-built Internet browser product.","Web Browser",Approved,Desktop,2022-05-01
"Microsoft Internet Information Server (IIS) 10.x","Microsoft Internet Information Server is a web server software from Microsoft that runs under Windows NT. It supports Netscape's SSL security protocol and turns an NT-based PC into a web site.","Software Development",Approved,Other,2022-12-31
"Microsoft O365","Pilot testing and evaluation of cross-agency collaboration capabilities as part of the MAX.gov transition effort.  Microsoft Productivity Suite (to include: SharePoint, Teams, OneDrive, and Power Automate).",-,Pilot,SaaS,2022-05-06
"Microsoft Office 2016 Professional Plus","Restricted Microsoft Office 2016 is needed particular servers to support application integration on Windows Server 2016 until the business lines can upgrade to Windows Server OS 2019 that supports MS Office 2019.  Application owners need integration with Word, Excel, and MS Access integration at a minimum via system account or robotics account usage along with the Microsoft Deployment Utility.  The server based installations are not intended for general consumption so a 508 review might not be needed. Cloud based functionality is out of scope.","Application Servers",Approved,Server,2022-10-21
"Microsoft Office Converter Pack","Provides file converters and image filters for Microsoft Office programs, from Microsoft Office 97 to Microsoft Office 2003.","Electronic Publishing",Sunsetting,Desktop,2021-08-27
"Microsoft Office Picture Manager","This technology is needed to manage photos prior to uploading to GSAcutions.gov.","Windows Tool",Approved,Desktop,2022-12-29
"Microsoft Office Professional Plus (MOPP)","The request is to move the MS Office ProPlus from Pilot to Proof of Concept. The scope is to allow installation and testing with users on ENT Production. The pilot occurred in QA Test ENT.","Workplace Productivity",Approved,Desktop,2024-10-28
"Microsoft OLE DB Driver 18.x for SQL Server (x64)","Latest driver Microsoft OLE DB Driver 18.x for SQL Server (x64) is required to maintain SQL connectivity as the new software technologies are being introduced in GSA.  A BigFix software push package is planned to deploy this no-cost product as required in GSA.","Database Connectivity",Approved,Desktop,2023-01-13
"Microsoft OpenJDK v11","This is a request for approval of Microsoft's builds of OpenJDK 11 for use on servers Windows servers.  OpenJDK 11 is a long term supported version of Java.  This is the development kit for the Java programming language.  Java is a heavily used programming language for GSA applications.",-,Approved,Server,2024-02-23
"Microsoft Project Professional 2019","Microsoft Project Professional 2019 is a project management software product, developed and sold by Microsoft. It is designed to assist a project manager in developing a schedule, assigning resources to tasks, tracking progress, managing the budget, and analyzing workloads.","Project Management Tools",Approved,Desktop,2023-07-10
"Microsoft SQL Server 2017","Microsoft SQL Server is a relational database management system developed by Microsoft. As a database server, it is a software product with the primary function of storing and retrieving data as requested by other software applications which may run either on the same computer or on another computer across a network.",Database,Approved,Server,2022-10-11
"Microsoft SQL Server 2019","Microsoft SQL Server 2017 is going out of support soon and we require the current version is 2019 as the upgrade replacement.  
After approval, testing will begin for this server based software.  A migration path/plan will be developed and replacement upgrades will begin in an orderly manner.",Database,Approved,Server,2022-10-17
"Microsoft SQL Server Migration Assistant 8.x for Access","Requesting installation of Microsoft SQL Migration Assistant 8.15 for Access. Region 7 SSAC is moving an old Procurement Vendor Allocation Tool based on Access 2010 to MS SQL in alignment with current SQL based data management platforms and support needs. The migration will facilitate ease of support, expansion, and standardization on application upgrades for future procurement activity.  This is a free support migration tool offered by Microsoft and is frequently upgraded as newer versions of the productivity suite emerge.",Database,Approved,Desktop,2022-12-02
"Microsoft Teams (Client)","Microsoft Teams is cloud-based team collaboration software that is part of the Office 365 suite of applications.  The core capabilities in Microsoft Teams include business messaging, calling, video meetings and file sharing.","Workplace Productivity",Approved,Desktop,2022-12-02
"Microsoft Visio 2019","Request reflects upgrading from Visio 2010 to Visio 2019.  Visio is a diagramming and vector graphics application. Visio is used to develop/maintain network diagrams, mapping out workflows, and creating physical mapping (floor plans, rack configurations, etc.)
This is part of the Microsoft Office family, but is licensed separately.","Workplace Productivity",Approved,Desktop,2022-11-18
"Microsoft Visio Professional 2016","Visio is used to diagram the various workflow and processes RMASS is required to create in support of various activities such as HACSINS, SCRM, ah-hoc presentations, and network diagrams.  We have multiple BAS applications that are not compatible with higher versions of Visio.","Workplace Productivity",Approved,Desktop,2023-10-02
"Microsoft Windows 10","Operating systems for personal computers. Windows provides a graphical user interface (GUI), virtual memory management, multitasking, and support for many peripheral devices. And includes the new Edge browser built for Windows 10.  Component software includes: BitLocker.","Operating System",Approved,Desktop,2022-12-01
"Microsoft Windows Server 2012 R2","Windows Server 2012 has no support for Itanium-based computers, and has four editions. Various features were added or improved over Windows Server 2008 R2 (with many placing an emphasis on cloud computing), such as an updated version of Hyper-V, an IP address management role, a new version of Windows Task Manager, and ReFS, a new file system. Including Bitlocker as component software.  These servers are located in all regions and currently provide a multitude of services in development and production environments.  These servers are managed my support engineers working under GSA IT, Enterprise Server Services, as well as PBS IT.","Network Operating System",Approved,Desktop,2023-10-10
"Microsoft Windows Server 2019","Windows Server 2019 is the latest version of the server operating system by Microsoft, as part of the Windows NT family of operating systems.  This new iteration of Windows Server 2019 has the following new features: Container services: Support for Kubernetes, Support for Tigera Calico for Windows, Linux containers on Windows.  Storage: Storage Spaces Direct, Storage Migration Service, Storage Replica, System Insights.  Security: Shielded Virtual Machines, Improved Windows Defender Advanced Threat Protection (ATP).  Administration: Windows Admin Center, SetupDiag.","Operating System",Approved,Server,2029-01-09
"MicroStrategy Desktop 2020.2","MicroStrategy Desktop is a data discovery tool that includes built-in templates, and makes it easy to build custom visualizations and interactive dashboards.","Reporting and Analysis",Approved,Desktop,2022-09-28
"MicroStrategy Server 2021 v11.x","MicroStrategy 2021 v11.x contains security fixes that are not in the older version (MicroStrategy 2019).",-,Approved,Server,2023-02-01
"MicroStrategy Workstation 2020.x","MicroStrategy Workstation is a data discovery tool build MicroStrategy Hyper Cards to be utilized with Hyper Intelligence.  It works along side the MicroStrategy Environment.","Data Management",Approved,Desktop,2023-01-23
"MicroStrategy Workstation 2021 11.x","D2D MicroStrategy Server has been upgraded to 2021 v11.X.  The tools will be deployed on DSVD.  The corresponding tools on DSVD need to be updated so that users can access the upgraded MSTR server.  Reference Server approval 2021-94567.","Miscellaneous Software",Approved,Desktop,2023-04-07
"MIL Comply Software","The MIL-PAC Software is required to create and generate the Military Shipping Labels for the DOD Military Shipments. The MSL is to ensure that GSA Contract Holder shipments are in compliant with MIL-STD 129R for the proper marking and labeling.",Other,Approved,Desktop,2023-07-07
"MiniOrange - Drupal SSO Module","The Cloud Information Center (CIC) application makes use of a headless CMS (Drupal) back-end and a React front-end. For this reason, the CIC requires a module that works with both the React front-end as well as the headless CMS (Drupal) back-end via Login.gov’s MFA. The Mini Orange module works with Login.gov’s OIDC and with PKCE authentication methods.  Currently, there is no publicly available PKCE-based Drupal authentication module that fits our specific requirements for an MFA method that exploits third party MFA implementation (Login.gov) along with React and Drupal.  Mini Orange products are currently in use at DHS, State and are listed in GEAR for Identity and Access Management services at GSA.  Additionally, the majority of our user base are already registered with Login.gov. The team believes that making use of a module that can integrate with Login.gov to avoid burden on the end user by way of an additional MFA registration e.g. OKTA, would be the best course of action.","Access Control and Audit Control",Approved,Server,2023-11-20
"MiniOrange Single Sign On (SSO) Plugin for SAML","SAML SSO for JIRA is fully supported, with best SSO features. One-click Login to JIRA & JIRA ServiceDesk. Securely deploy JIRA to teams and manage accounts by using seamless account authentication through our SAML integration with any IDP. Auto-create users or enable user login with existing accounts.","Identity and Access Management",Approved,Server,2022-09-01
"Minitab Minitab 16","Analyze your data and improve your products and services with the leading statistical software used for quality improvement worldwide.","Reporting and Analysis",Sunsetting,Desktop,2018-05-01
"Minitab version 20.x","Minitab is a statistical data software used by GSA Services in predictive data visualization, analysis, and harnessing the power of GSA data to solve business challenges from anywhere on the cloud.  The OCFO Office of Analytics, Performance, and Improvement , General Services Administration is using Minitab as an annual multi-user software licenses and English Quality Trainer multi-user software licenses.","Data Management",Approved,Server,2023-07-14
"Mioplanet Pixel Ruler 3.x","Pixel Ruler is a free application that claims to allow you to use your mouse to dynamically measure pixels.","Miscellaneous Software",Denied,Server,-
"mIRC 7.x","mIRC is a Internet Relay Chat client used by individuals and organizations to communicate, share, play and work with each other on IRC networks. mIRC is over two decades old, and has evolved into a powerful, reliable piece of technology.","Collaboration Software",Denied,Desktop,-
Miro,"Miro is a whiteboarding app similar to the Mural app, which is already approved on the Gear list. The apps allow users to easily generate Kanban boards, user story visualizations, journey maps, and product road maps. The difference is that Miro has a free webapp version that satisfies the requirements from our team. With the impending building consolidation, our team will be teleworking much more than we currently are and collaborative virtual spaces are crucial to working together.","Workplace Productivity",Denied,Other,-
"Mobaxterm 12.x","Requesting Mobaxterm for use in GSA.  This tool is combination of ssh and xserver. It will be used by DBAs.  This will allow DBAs to access Oracle DBs that are running on Linux servers.  The GSA Database and Middleware team is currently pursuing the use of MobaXterm in-lieu of Starnet X-Win 32 for a Linux X-Windows solution.","Database Admin Tools",Denied,Server,-
"MobaXterm 20.x","MobaXterm is an all-in one program for Windows that integrates a terminal program, an X server, an SSH client.","Database Connectivity",Denied,Server,-
"MongoDB Atlas for Government","MongoDB Atlas for Government will undergo an evaluation by the Forms Service team first using test data to assess functionality requirements. We are requesting a review to use this in a limited use capacity. We will not be using real data during this evaluation and will only use test data.",Database,Pilot,SaaS,2022-06-21
"MongoDB Community Edition 4.x","OCISO ISP is addressing a deployment effort for COTS product 'BigFix Plugin Portal'.  A requirement of the install requires 'MongoDB Community Edition 4.x' database software to be installed.  This edition includes the MongoDB CLI tool.",Database,Approved,Server,2023-02-03
"MongoDB Enterprise Advanced","To modernize the next iteration of IT Dashboard, the development team has chosen MongoDB Enterprise Advanced as the main data store.  We will be implementing the service within FCS's McaaS cluster.  Mongo is not offered in FCS's earlier versions of service catalog, we're looking into utilizing MongoDB Enterprise Advanced (EA).",Database,Approved,Server,2022-10-13
"Mozilla Thunderbird","Due to security vulnerabilities, we need to upgrade Mozilla Thunderbird to the latest version 78.x on 31 PC's.  Note that version numbers are changing too frequently to be included in the listing.","Email Client",Approved,Desktop,2022-08-11
"MS Office ProPlus (MOPP) for Macintosh","The request is to move the MS Office ProPlus Desktop software for Macintosh with no cloud components from Pilot to Proof of Concept (POC).  The scope is to allow installation and testing with users on ENT Production on GSA Macintosh workstations. The pilot occurred in QA Test ENT.  This Office 365 (Microsoft Office ProPlus (MOPP)) is currently going through Security review and will not proceed for ENT Production use until it has Security approval.  The Proof of concept suite is limited to Word, Excel, and PowerPoint. The Proof of Concept for Macintosh will NOT exceed 20 users and use the draft MOPP hardening guide until the final guide is published. The other Office components are not available as physical installs for Macintosh.","Workplace Productivity",Approved,Desktop,2024-10-28
"MS SQL Server Express 2012 (SP4)","MS SQL Server Express (SP4) is a dependency of 2021-94921 - UPS WorldShip 2021 request which was already approved.  UPS WorldShip is the industry standard client side of UPS' shipping software.  It allows to process batch shipping from diverse sources, locations and associates within GSA Logistics.  It relies on state of the art security encryption for sending and receiving shipping data and, unlike CampusShip (currently use vis UPS Website) it allows multiple shipment batch processing.  It stores the Tracking Number which is used as a Key Field reference to display shipping Information stored on the Client side, normally a GSA Workstation. The encryption protocol and data transfer technology are based on industry standard TLS 1.2.",Database,Exception,Desktop,2023-07-13
"Mulesoft Anypoint Studio 7.x","Mulesoft Anypoint studio is an IDE(Eclipse + Mule development tools) to develop Mule projects. Currently Mule is the software used for solving integrating two divergent systems seamlessly.","API Management",Approved,Desktop,2022-03-31
Mural,"Digital workspaces for visual collaboration, inspiration and innovation anytime, anywhere, on any device.","Collaboration Software",Approved,SaaS,2022-12-16
"MySmartPlans v17.x","Office of Design & Construction project management tool to support the National Nuclear Security Administration(NNSA) Campus project. MySmartPlans (MSP) is a project-centric dashboard automatically organizing and distributing ALL the project information to ALL stakeholders during the entire construction life cycle.","Project Management Tools",Approved,Desktop,2023-03-08
"MySQL Workbench 8.x","Version 8 is needed for required Transport Layer Security (TLS 1.2) compatibility.  MySQL Workbench is a unified visual tool for database architects, developers, and DBAs. MySQL Workbench provides data modeling, SQL development, and comprehensive administration tools for server configuration, user administration, backup, and much more. MySQL Workbench is available on Windows, Linux and Mac OS X.","Database Admin Tools",Approved,Desktop,2024-04-19
"NamicSoft Scan Report Assistant 3.x","Need for processing vulnerability scans. Assist in reviewing risks in vulnerability scans.","Security and Assurance",Approved,Desktop,2023-12-20
"Navigo 4","Navigo 4 is a web-based software for analyzing functional similarity that allow Administrative Users easy and effortless way to update and add information to the system.","Data Backup",Denied,Desktop,-
"Nessus Agent v10.x","This technology is needed to support ongoing scanning within GSA and to meet CDM requirements.  Nessus Agents will be deployed to GSA hosts to enable more accurate and quicker scans of hosts in support of 72 hour scan requirement.","Vulnerabilities Scanning",Approved,Server,2024-01-25
"Nessus Manager v10.x","This is needed for the scheduling and management of vulnerability scanning through Nessus Agents. Tenable Nessus Manager will be deployed to oversee the GSA deployed Nessus Agents to complete vulnerability scanning and support 72 hour scan requirements.","Vulnerabilities Scanning",Approved,Desktop,2024-01-11
"NestJS 7.5.1","NestJS 7.5.1 is needed to build a new application which fulfills PBS business requirements.","Software Development",Approved,Server,2022-12-02
"Net Deed Plotter v5.6.x","Software will be used to create digital drawings of property boundaries.  Just a few of the basic capabilities of Deed Plotter follow:   Enter data and draw user scaled maps directly from any document that has an adequate surveyor's legal description.  Automatically calculate areas, closures, and precision ratios.  Find and measure overlaps & gaps.  Solve for a missing deed call and search for a defective deed call.  Connect, move, and rotate multiple parcels of land.  Automatically display deed calls, corner circles, and corner labels.  Add text of any size at any position or angle. The map shown on this page demonstrates user added text for the title, areas, curves, and general information.","Building Information Modeling",Approved,Desktop,2023-12-18
"NetApp DataOntap 9.x","NetApp ONTAP 9 unifies data management across flash, disk, and cloud to simplify your storage environment. It bridges current enterprise workloads and new emerging applications. It builds the foundation for a Data Fabric, making it easy to move your data where it is needed across flash, disk, and cloud resources.","Data Management,Storage",Approved,Server,2024-03-01
"NetBackup v9.x","Need to upgrade the version of Veritas NetBackup in the specified environments as the current version is approaching its EOL. The following  open systems servers being backed up by Veritas support the following applications WebARM, AutoAuctions, AutoChoice, AutoVendor, Fleet (W), FleetWeb AIE (W),  ATM R&ITH (Rejected and Invalid Transaction Handling),  Reports Portal, Requisitioning , Ordering and Documentation System, SmartPay2 Data Warehouse, WebSTR, Subversion : ATM Source Code repository and Federal Vehicle Standard.",-,Approved,Desktop,2023-11-17
"NetCentric Technologies CommonLook Office 1","A companion to the core Microsoft Office writing tools, CommonLook Office makes it easy for any user to create accessible, Section 508 compliant PDF documents directly from Microsoft Word or PowerPoint 2007 or 2010.","PDF Software",Denied,Desktop,2018-05-01
"NetIQ DRA 10.x","NetIQ Directory and Resource Administrator (DRA) delivers an ability to control who can manage what within Active Directory while protecting the consistency and integrity of its information by validating all administrative changes. Through granular delegation of permissions, robust change management policies, and automation that simplifies workflows, DRA reduces downtime and operational risks to Active Directory that are posed by the consequences of malicious or accidental changes.","Identity and Access Management",Approved,Server,2023-06-26
"Networks Junos Pulse Secure 9.x","Networks Junos Pulse Secure 9.1 release 7 is required to support the the annual Pegasys Disaster Recovery test.  Pegasys is GSA core financial accounting system.","Remote Access and Remote Control",Approved,Desktop,2022-08-26
Newtonsoft.JSON,"Newtonsoft.JSON/Json.NET is a popular high-performance JSON framework for .NET.  Currently the approved JSON framework is not high performance and cannot keep up with the demand in the National Advanced Locator.",Plugins/Libraries,Approved,Desktop,2023-04-14
"Nginx 1.x","nginx [engine x] is an HTTP and reverse proxy server, a mail proxy server, and a generic TCP proxy server, originally written by Igor Sysoev. Nginx is one of the top load balancers, proxies and web servers in the industry.Nginx allows us to build in HA and fault tolerance into specific application back end components instead of only load balancing on the front end.In this particular case, we plan to deploy nginx between JBOSS servers and Solr search engine for load balancing and caching of Solr queries/results.","Web Servers",Approved,Server,2022-10-03
"Niagara 4.10.x","Niagara 4 builds on the legacy of the Niagara Framework® in new and exciting ways.  Now end users an directly access, analyze and act on a wide range of operational data. Niagara 4 provides a user interface that makes it easier for system integrators to create and maintain customized views for end users.  Niagara 4 is used in junction with various devices for HVAC control.","Building Automation",Approved,Server,2023-04-14
"NiceLabel 2019 Designer Express","Design and print G-Stickers for GSA Fleet Europe (Zone 1 / Region 3).  These labels are used to uniquely identify the GSA owned vehicle in Europe-Africa and Middle East.   We use this software to design and print our G-Stickers for the whole Fleet Europe.   We require a new installation of the software (NiceLabel 2019 Designer Express).",-,Approved,Desktop,2023-11-29
